RK,TEAM,CONF,G,REC,ADJOE,ADJDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ T.,WAB
1,Michigan,B10,29,27-2,"129.3
61,"Providence
   (A) 83 Creighton",BE,28,13-15,"123.7
21","110.4
194",".7872
61","55.2
39","51.4
184","16.3
145","12.8
359","32.7
104","31.1
200","38.0
103","33.5
137","56.1
48","49.8
97","35.9
68","36.0
295","40.5
157","39.0
163","71.5
19","-4.5
102"
62,"Northwestern
   (H) 90 Oregon",B10,28,12-16,"116.4
67","104.1
79",".7841
62","51.2
183","50.2
110","12.8
3","16.9
170","27.6
281","34.2
320","35.0
186","35.7
194","52.5
147","50.9
138","32.5
252","32.7
100","34.2
290","40.6
221","65.9
260","-3.7
94"
63,"LSU
   (H) 53 Oklahoma",SEC,28,15-13,"119.7
47","107.0
127",".7827
63","53.1
102","50.6
136","15.0
63","14.4
325","33.2
91","31.8
240","41.1
51","38.1
265","54.6
72","48.9
64","33.5
209","35.6
274","34.3
287","37.6
123","66.6
229","-2.3
75"
64,Belmont,MVC,30,26-4,"120.5
42","107.8
149",".7815
64","61.4
1","49.1
72","18.3
277","17.7
117","28.8
241","29.2
116","32.9
240","29.5
49","61.2
5","47.7
44","41.1
1","33.7
158","45.2
59","49.0
360","69.1
98","+0.9
42"
65,"Seton Hall
   (A) 8 Connecticut",BE,28,19-9,"106.5
225","95.5
14",".7788
65","47.6
323","46.6
18","16.9
185","22.1
6","35.6
33","31.9
247","36.3
153","42.1
324","48.4
299","45.5
14","30.3
336","32.0
67","26.7
363","42.6
284","65.5
283","-0.06
55"
66,Akron,MAC,29,24-5,"119.2
49","106.9
124",".7776
66","58.6
8","51.0
155","15.6
98","18.5
86","33.7
76","31.0
197","29.8
312","31.1
81","59.4
13","49.4
79","38.5
11","35.4
258","44.9
65","43.2
295","70.9
26","-0.8
59"
67,"Arizona St.
   (H) 97 Utah",B12,28,14-14,"117.2
61","105.2
99",".7764
67","51.3
179","53.4
274","16.0
127","18.9
62","30.3
190","34.0
318","39.7
68","35.8
198","51.7
183","53.4
249","33.8
187","35.5
264","38.0
214","40.1
201","69.3
87","-2.1
70"
68,Butler,BE,29,15-14,"118.5
56","106.5
116",".7746
68","51.3
179","52.0
213","15.7
107","15.3
271","35.0
45","30.1
156","43.1
23","25.2
8","52.0
166","53.5
255","33.4
215","32.9
115","35.3
265","37.2
107","68.7
113","-3.2
85"
69,"Syracuse
   (A) 72 Wake Forest",ACC,28,15-13,"116.2
70","104.4
84",".7739
69","52.9
114","49.5
85","16.1
136","17.8
113","29.8
213","33.2
305","36.6
148","34.3
153","54.8
65","48.9
64","33.0
232","33.6
151","36.2
246","34.7
43","67.8
162","-2.5
80"
70,"Nevada
   (A) 126 UNLV",MWC,28,19-9,"116.2
68","104.5
85",".7733
70","49.7
251","50.9
151","14.7
46","17.3
143","32.7
104","28.2
72","44.9
9","38.1
265","46.6
333","49.9
102","37.3
31","34.8
228","33.0
316","44.0
317","65.6
279","-0.6
57"
